pipeline_name,model_name,rag_enabled,run_key,question_count_target,total_questions_materialized,success_rate,success_count,failed_count,started_at_utc,completed_at_utc,output_dir
gemini_rag,gemini-2.5-flash,True,8c511891e49b69fb,1.0,1,0.0,0,1,2026-04-05T22:13:49+00:00,2026-04-05T22:13:50+00:00,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemini_rag/8c511891e49b69fb
gemma_rag,gemma3:27b,True,c67f3ddbdb40730b,3.0,3,1.0,3,0,2026-04-05T22:10:40+00:00,2026-04-05T22:11:08+00:00,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/c67f3ddbdb40730b
qwen_norag,qwen2.5:14b,False,c7c8cfaf0317696c,3.0,3,1.0,3,0,2026-04-05T22:10:02+00:00,2026-04-05T22:10:04+00:00,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_norag/c7c8cfaf0317696c
qwen_rag,qwen2.5:14b,True,adf79493277f18de,3.0,3,1.0,3,0,2026-04-05T22:09:53+00:00,2026-04-05T22:09:53+00:00,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/adf79493277f18de
qwen_rag,qwen2.5:14b,True,c435b0a530284e72,,1,0.0,0,1,2026-04-05T21:56:02+00:00,2026-04-05T21:56:02+00:00,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/c435b0a530284e72
qwen_rag,qwen2.5:14b,True,fd790c837c11803c,50.0,50,1.0,50,0,2026-04-05T22:48:21+00:00,2026-04-05T22:51:02+00:00,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/fd790c837c11803c
